id,title,description,product_type,alias,mrp,price_display_amount,discount_percentage,product_tags,product_collections
14976,Zorelle|Trucotton Midi Length Milkmaid Dress,"Evoke effortless romance with the Purple Front-Tie Midi Dress, featuring a square neckline, delicate puff sleeves, and a soft front-tie detail. Designed with a fitted bodice and a flowing flared hem, this timeless silhouette is crafted from 100% breathable, eco-friendly cotton for all-day elegance.",Dress,virgio,2790,1675,39.96,"Colour:Purple, Fabric:Cotton, Gender:Women, GID_VWWDR24352144, GroupID:VWWDR24352144, Print:Solid, StyleID:VWWDR2435214401","ALL COLLECTIONS, Casual Essentials, Cotton Collection, Earth-friendly Fabrics, Flash Sale, Inventory, Kalki Koechlin | Shop The Look, Natural Fabrics, The Galentines Brunch"
14977,Abril|Trucotton Embroidery Detail Midi Dress,"This pink embroidered strappy midi dress elevates feminine charm with a sweetheart neckline, delicate straps, and an intricately embroidered finish. Crafted from sustainable cotton, they promise an ethereal yet modern aesthetic.",Dress,virgio,3390,2035,39.97,"Colour:Pink, Fabric:Cotton, Gender:Women, GID_VWWDR24352145, GroupID:VWWDR24352145, Print:Embroidery, StyleID:VWWDR2435214502","ALL COLLECTIONS, All Dresses, Casual Essentials, Chasing Butterflies, Cotton Collection, Date Ready, Dresses, Dresses veronica, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Kiss & Tell, Natural Fabrics, Pink Bloom, Pink Snow, The Galentines Brunch, The Virgio Promise, Unstoppably You!"
14978,Jayden|Blue Straight Flared Denims,Blue flared regular denims. The denim jeans have a straight fit and hem. It features pockets. Crafted from cotton for a more sustainable choice,Jeans,virgio,2390,2390,0,"Colour:Blue, Fabric:Cotton, Gender:Women, GID_VWWJE25010274, GroupID:VWWJE25010274, Print:Solid, StyleID:VWWJE2501027401","Academic Edge, ALL COLLECTIONS, Bottom wear, Bottomwear veronica, Brunch Ready, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Lounge Wear, Midnight Sapphire, Mystic Blue, Natural Fabrics, Snug Season, Soft Romance, The Boyfriend's Hoodie, The Denim Drop, trousers, Vacation Vibe"
14980,Renata|Blue Strappy Midi Dress,"Blue strappy midi dress. Sweetheart neckline. Fitted and flared silhouette. Crafted from cotton, the dress is sustainable and eco-friendly",Dress,virgio,3390,3390,0,"Colour:Blue, Fabric:Cotton, Gender:Women, GID_VWWDR24352145, GroupID:VWWDR24352145, Print:Embroidery, StyleID:VWWDR2435214501","ALL COLLECTIONS, All Dresses, Casual Essentials, Cotton Collection, Date Ready, Dresses, Dresses veronica, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Midnight Sapphire, Mystic Blue, Natural Fabrics, The Bloom Collective, The Galentines Brunch, The Virgio Promise, Unstoppably You!, Vacation Vibe"
14981,Elyanna|Off-Shoulder Sweatshirt,"Tan off-shoulder knitted sweatshirt. Features long, cuffed sleeves. Designed with a boxy fit, and an asymmetric neckline. Crafted from a cotton-recycled poly blend, it is sustainable and eco-friendly",Top,virgio,2390,2390,0,"Colour:Tan, Fabric:Cotton, Gender:Women, GID_VWWSS24474057, GroupID:VWWSS24474057, Print:Solid, StyleID:VWWSS2447405701","Academic Edge, ALL COLLECTIONS, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Jackets, Just In!, Kalki Koechlin | Shop The Look, Lounge Wear, Natural Fabrics, Snug Season, The Boyfriend's Hoodie, The Virgio Promise"
14982,Ayla Shorts|Pink Pull-On Shorts,"Pink pull-on knitted shorts. Designed with a straight fit, and features pockets. Crafted from a cotton-recycled poly blend, so it's a sustainable and eco-friendly fit",Shorts,virgio,1390,835,39.93,"Colour:Pink, Fabric:Cotton, Gender:Women, GID_VWWSO24474040, GroupID:VWWSO24474040, Print:Self Design, StyleID:VWWSO2447404002","Academic Edge, ALL COLLECTIONS, Bottomwear veronica, Casual Essentials, Cotton Collection, Date Ready, Flash Sale, Inventory, Just In!, Kiss & Tell, Lounge Wear, Natural Fabrics, Pink Bloom, Pink Snow, Shorts, Skirts | Shorts, Snug Season, The Boyfriend's Hoodie, The Virgio Promise"
14983,Pola Shorts|Blue Pull-On Shorts,"Blue pull-on knitted shorts. Designed with a straight fit, and features pockets. Crafted from a cotton-recycled poly blend, so it's a sustainable and eco-friendly fit",Shorts,virgio,1390,1390,0,"Colour:Blue, Fabric:Cotton, Gender:Women, GID_VWWSO24474040, GroupID:VWWSO24474040, Print:Self Design, StyleID:VWWSO2447404001","Academic Edge, ALL COLLECTIONS, Bottom wear, Bottomwear veronica, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Lounge Wear, Midnight Sapphire, Mystic Blue, Natural Fabrics, Shorts, Snug Season, The Boyfriend's Hoodie, The Galentines Brunch, The Virgio Promise"
14984,Ayla Hoodie|Cropped Boxy Pink Hoodie,"Cropped pink knitted hoodie. Designed with long, cuffed sleeves. Features a boxy fit, and a curved hemline. Crafted from a cotton-recycled poly blend for a sustainable fit",Top,virgio,1790,1790,0,"Colour:Pink, Fabric:Cotton, Gender:Women, GID_VWWSS24474040, GroupID:VWWSS24474040, Print:Self Design, StyleID:VWWSS2447404002","Academic Edge, ALL COLLECTIONS, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Inventory, Jackets, Just In!, Kalki Koechlin | Shop The Look, Kiss & Tell, Lounge Wear, Natural Fabrics, Pink Bloom, Pink Snow, Snug Season, The Boyfriend's Hoodie, The Virgio Promise"
14985,Palmira Shirt|Rescued Polyester Abstract Print Shirt,"Abstract floral printed shirt with a shirt collar, short sleeves, and a regular fit. Crafted from rescued polyester, the shirt offers durability and long-lasting wear with a straight hem.",Shirt,virgio,2390,1435,39.96,"Colour:Teal, Fabric:Rescued Fabric, Gender:Women, GID_VWWSH24346949, GroupID:VWWSH24346949, Print:Abstract, StyleID:VWWSH2434694901","ALL COLLECTIONS, Earth-friendly Fabrics, Flash Sale, Inventory, Kalki Koechlin | Shop The Look, Shirts and Blouses, The Classic Edit, The White Lotus"
14987,Paz Top|Rescued Polyester Abstract Print Top,"For a modern, minimalist statement, the Abstract Floral Strappy Top features a sleek V-neckline and sleeveless design, cut with a straight hem for a refined fit. Crafted from rescued poly, it ensures durability while embracing a consciously crafted approach.",Top,virgio,1590,955,39.94,"Colour:Teal, Fabric:Rescued Fabric, Gender:Women, GID_VWWTO24346945, GroupID:VWWTO24346945, Print:Abstract, StyleID:VWWTO2434694502","ALL COLLECTIONS, Flash Sale, Inventory, The White Lotus, Tops, Topwear, Topwear veronica"
